City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,skadovs'k,46.1161,32.9112,23.55,60,2,5.99,UA,1717781174
126,miles city,46.4083,-105.8406,24.54,35,0,6.69,US,1717781174
127,altai,46.3722,96.2583,14.8,20,38,3.78,MN,1717781174
128,paradip garh,20.3167,86.6167,29.82,76,96,8.24,IN,1717781174
129,arauco,-37.2463,-73.3175,16.34,83,100,1.15,CL,1717781174
130,el vigia,8.6219,-71.6506,32.54,58,30,2.85,VE,1717781175
131,kondoa,-4.9,35.7833,19.15,57,4,0.71,TZ,1717781175
132,kuta,-8.7233,115.1723,25.97,94,40,5.36,ID,1717781175
133,lerwick,60.1545,-1.1494,10.0,72,73,6.61,GB,1717781077
134,vorgashor,67.5833,63.95,-1.22,93,100,4.32,RU,1717781176
135,jablonec nad nisou,50.7243,15.1711,19.75,55,68,3.68,CZ,1717781176
136,qianzhou,28.3167,109.7167,18.76,90,100,0.54,CN,1717781176
137,severnoye,56.3491,78.3619,13.88,78,100,3.58,RU,1717781176
138,ola,59.5833,151.2833,8.41,88,100,3.07,RU,1717781061
139,susuman,62.7833,148.1667,10.55,53,93,4.02,RU,1717781176
140,battle ground,45.7809,-122.5334,21.42,62,9,1.34,US,1717781176
141,port douglas,-16.4833,145.4667,19.13,76,1,1.62,AU,1717781177
142,brokopondo,4.75,-55.1667,30.07,64,11,0.99,SR,1717781177
143,isla mujeres,21.2311,-86.731,34.03,68,0,4.82,MX,1717781177
144,georgetown,5.4112,100.3354,28.97,78,20,2.06,MY,1717781014
145,solleftea,63.1667,17.2667,12.92,37,100,3.21,SE,1717781111
146,wongsorejo,-7.9908,114.4009,24.7,92,86,5.0,ID,1717781177
147,santa ana,33.7456,-117.8678,23.31,88,100,4.12,US,1717781177
148,guiuan,11.0333,125.7247,29.15,73,100,4.75,PH,1717780991
149,west wodonga,-36.1257,146.8486,8.75,100,1,2.06,AU,1717781178
150,happy valley-goose bay,53.3168,-60.3315,23.17,43,20,4.63,CA,1717780956
151,port alfred,-33.5906,26.891,15.88,73,93,5.4,ZA,1717781085
152,kluang,2.0251,103.3328,25.25,90,93,0.89,MY,1717781178
153,santyoku,37.4406,129.1708,19.99,70,100,2.87,KR,1717781178
154,st. john's,47.5649,-52.7093,16.49,79,75,2.24,CA,1717781178
155,basco,20.4487,121.9702,28.72,76,100,3.07,PH,1717781179
156,abilene,32.4487,-99.7331,35.66,51,0,7.2,US,1717780941
157,kurumkan,54.3,110.3,11.18,45,0,3.58,RU,1717781180
158,anadyr,64.75,177.4833,0.28,86,75,3.0,RU,1717781025
159,esquina,-30.0144,-59.5272,27.48,52,2,3.03,AR,1717781180
160,port augusta,-32.5,137.7667,8.76,92,53,1.49,AU,1717781181
161,mejit,10.2753,170.8646,28.11,80,100,8.11,MH,1717781181
162,sogod,10.3847,124.9814,25.17,88,63,0.93,PH,1717781181
163,aljezur,37.3191,-8.8033,18.67,81,75,4.18,PT,1717781181
164,sarina,-21.4333,149.2167,11.45,1,0,2.08,AU,1717781181
165,golfito,8.639,-83.166,27.11,75,100,1.69,CR,1717781181
166,invercargill,-46.4,168.35,7.79,97,47,1.35,NZ,1717781181
167,fortuna,40.5982,-124.1573,19.96,75,20,0.0,US,1717781182
168,philadelphia,39.9523,-75.1638,30.34,38,75,7.72,US,1717780916
169,hadibu,12.65,54.0333,29.3,77,88,6.75,YE,1717781079
170,nema,57.5067,50.5011,15.38,92,82,2.05,RU,1717781182
171,belyy yar,53.6039,91.3903,15.94,94,20,4.0,RU,1717781182
172,west island,-12.1568,96.8225,26.99,78,40,4.12,CC,1717781016
173,puerto armuelles,8.2833,-82.8667,30.99,72,100,1.79,PA,1717781182
174,miracema do tocantins,-9.5618,-48.3967,35.42,27,23,3.2,BR,1717781183
175,coxim,-18.5067,-54.76,34.01,23,0,2.92,BR,1717781183
176,el eulma,36.1528,5.6902,32.34,40,52,1.54,DZ,1717781183
177,puerto cabezas,14.0351,-83.3888,30.98,79,75,2.06,NI,1717781183
178,lapai,9.05,6.5667,30.41,64,90,3.45,NG,1717781183
179,santarem,-2.4431,-54.7083,32.07,66,20,5.14,BR,1717781092
180,lebu,-37.6167,-73.65,15.62,83,100,1.85,CL,1717781184
181,saldanha,-33.0117,17.9442,13.03,76,0,4.57,ZA,1717781184
182,port lincoln,-34.7333,135.8667,11.68,81,99,2.85,AU,1717781184
183,kulunda,52.566,78.9385,17.57,85,100,5.81,RU,1717781184
184,uturoa,-16.7333,-151.4333,26.13,81,40,4.48,PF,1717781184
185,xining,36.6167,101.7667,10.89,79,100,1.15,CN,1717781184
186,bodo,67.28,14.405,13.76,67,0,5.14,NO,1717781185
187,eureka,40.8021,-124.1637,20.11,78,0,2.24,US,1717781185
188,la passe,45.5549,-0.8967,25.13,70,100,5.22,FR,1717781185
189,birobidzhan,48.8,132.95,15.13,98,100,1.91,RU,1717781185
190,celestun,20.8667,-90.4,33.97,54,2,4.0,MX,1717781185
191,axim,4.8699,-2.2405,26.83,83,89,3.93,GH,1717781185
192,lexington,37.9887,-84.4777,25.0,37,0,8.23,US,1717781117
193,airdrie,55.866,-3.9803,13.36,52,50,6.69,GB,1717781186
